Sequence 1, is of length 4080, mapped to Original, on beginning location of: 11173
Sequence 12802, is of length 9378, mapped to Complement, on beginning location of: 2593
Sequence 12805, is of length 10044, mapped to Original, on beginning location of: 806136
Sequence 12808, is of length 14960, mapped to Original, on beginning location of: 25089
Sequence 12811, is of length 6541, mapped to Complement, on beginning location of: 3471
Sequence 12814, is of length 11029, mapped to Original, on beginning location of: 2281431
Sequence 12817, is of length 1233, mapped to Complement, on beginning location of: 3752501
Sequence 12820, is of length 8660, mapped to Complement, on beginning location of: 1495372
Sequence 12823, is of length 10919, mapped to Complement, on beginning location of: 16272
Sequence 12826, is of length 12655, mapped to Original, on beginning location of: 50741
Sequence 12829, is of length 13693, mapped to Complement, on beginning location of: 25321
Sequence 12832, is of length 4852, mapped to Original, on beginning location of: 3196901
Sequence 12835, is of length 8082, mapped to Complement, on beginning location of: 22338
Sequence 12838, is of length 9215, mapped to Complement, on beginning location of: 3842083
Sequence 12841, is of length 10112, mapped to Original, on beginning location of: 12485
Sequence 12844, is of length 7316, mapped to Original, on beginning location of: 28225
Sequence 12847, is of length 3281, mapped to Complement, on beginning location of: 3464
Sequence 12850, is of length 15385, mapped to Original, on beginning location of: 3691079
Sequence 12853, is of length 9371, mapped to Original, on beginning location of: 1274972
Sequence 12856, is of length 5091, mapped to Complement, on beginning location of: 604155
Sequence 12859, is of length 12525, mapped to Complement, on beginning location of: 410714
Sequence 12862, is of length 7894, mapped to Original, on beginning location of: 16483
Sequence 12865, is of length 9454, mapped to Original, on beginning location of: 2314734
Sequence 12868, is of length 9226, mapped to Original, on beginning location of: 36626
Sequence 12871, is of length 10152, mapped to Complement, on beginning location of: 19663
Sequence 12874, is of length 3628, mapped to Original, on beginning location of: 425267
Sequence 12877, is of length 10175, mapped to Complement, on beginning location of: 3953334
Sequence 12880, is of length 9013, mapped to Original, on beginning location of: 41970
Sequence 12883, is of length 8202, mapped to Original, on beginning location of: 21948
Sequence 12886, is of length 2805, mapped to Original, on beginning location of: 233820
Sequence 12889, is of length 6535, mapped to Complement, on beginning location of: 1274972
Sequence 12892, is of length 11322, mapped to Complement, on beginning location of: 3971130
Sequence 12895, is of length 8311, mapped to Complement, on beginning location of: 711909
Sequence 12898, is of length 7573, mapped to Original, on beginning location of: 2328178
Sequence 12901, is of length 10079, mapped to Original, on beginning location of: 5227
Sequence 12904, is of length 10852, mapped to Complement, on beginning location of: 809522
Sequence 12907, is of length 8605, mapped to Original, on beginning location of: 15228
Sequence 12910, is of length 10181, mapped to Complement, on beginning location of: 13924
Sequence 12913, is of length 10057, mapped to Complement, on beginning location of: 1957410
Sequence 12916, is of length 8407, mapped to Complement, on beginning location of: 17870
Sequence 12919, is of length 8709, mapped to Complement, on beginning location of: 4603625
Sequence 12922, is of length 10471, mapped to Original, on beginning location of: 3477727
Sequence 12925, is of length 9279, mapped to Original, on beginning location of: 2662330
Sequence 12928, is of length 7000, mapped to Complement, on beginning location of: 643407
Sequence 12931, is of length 16156, mapped to Complement, on beginning location of: 25247
Sequence 12934, is of length 12757, mapped to Complement, on beginning location of: 1790249
Sequence 12937, is of length 7721, mapped to Complement, on beginning location of: 1147215
Sequence 12940, is of length 3152, mapped to Complement, on beginning location of: 43186
Sequence 12943, is of length 12243, mapped to Complement, on beginning location of: 2236791
Sequence 12946, is of length 10591, mapped to Complement, on beginning location of: 2846700
Sequence 12949, is of length 6888, mapped to Original, on beginning location of: 323570
Sequence 12952, is of length 6579, mapped to Complement, on beginning location of: 2574584
Sequence 12955, is of length 6105, mapped to Original, on beginning location of: 2939769
Sequence 12958, is of length 9015, mapped to Complement, on beginning location of: 4460790
Sequence 12961, is of length 7186, mapped to Original, on beginning location of: 3292046
Sequence 12964, is of length 8165, mapped to Original, on beginning location of: 3174609
Sequence 12967, is of length 7799, mapped to Complement, on beginning location of: 24762
Sequence 12970, is of length 6193, mapped to Original, on beginning location of: 23820
Sequence 12973, is of length 8639, mapped to Original, on beginning location of: 4305570
Sequence 12976, is of length 5032, mapped to Complement, on beginning location of: 3523517
Sequence 12979, is of length 4778, mapped to Complement, on beginning location of: 19483
Sequence 12982, is of length 11019, mapped to Complement, on beginning location of: 1024148
Sequence 12985, is of length 4621, mapped to Original, on beginning location of: 38175
Sequence 12988, is of length 9688, mapped to Original, on beginning location of: 19663
Sequence 12991, is of length 4464, mapped to Complement, on beginning location of: 3362
Sequence 12994, is of length 6746, mapped to Original, on beginning location of: 1232830
Sequence 12997, is of length 6414, mapped to Complement, on beginning location of: 4122933
Sequence 13000, is of length 8682, mapped to Complement, on beginning location of: 215684
Sequence 13003, is of length 9357, mapped to Complement, on beginning location of: 21905
Sequence 13006, is of length 8459, mapped to Complement, on beginning location of: 1008607
Sequence 13009, is of length 8126, mapped to Complement, on beginning location of: 5049
Sequence 13012, is of length 6780, mapped to Original, on beginning location of: 29959
Sequence 13015, is of length 13813, mapped to Complement, on beginning location of: 70
Sequence 13018, is of length 8510, mapped to Complement, on beginning location of: 41752
Sequence 13021, is of length 6685, mapped to Original, on beginning location of: 16241
Sequence 13024, is of length 9144, mapped to Complement, on beginning location of: 3465729
Sequence 13027, is of length 22030, mapped to Original, on beginning location of: 17655
Sequence 13030, is of length 9250, mapped to Original, on beginning location of: 267859
Sequence 13033, is of length 3055, mapped to Complement, on beginning location of: 3851
Sequence 13036, is of length 12473, mapped to Original, on beginning location of: 3415547
Sequence 13039, is of length 11041, mapped to Complement, on beginning location of: 8042
Sequence 13042, is of length 5201, mapped to Original, on beginning location of: 4612900
Sequence 13045, is of length 7642, mapped to Original, on beginning location of: 544956
Sequence 13048, is of length 6960, mapped to Complement, on beginning location of: 2013024
Sequence 13051, is of length 3120, mapped to Original, on beginning location of: 1610573
Sequence 13054, is of length 5923, mapped to Complement, on beginning location of: 4367140
Sequence 13057, is of length 2122, mapped to Original, on beginning location of: 3483626
Sequence 13060, is of length 9329, mapped to Complement, on beginning location of: 651067
Sequence 13063, is of length 2637, mapped to Complement, on beginning location of: 357086
Sequence 13066, is of length 10716, mapped to Complement, on beginning location of: 2232151
Sequence 13069, is of length 7788, mapped to Complement, on beginning location of: 14200
Sequence 13072, is of length 4990, mapped to Original, on beginning location of: 44361
Sequence 13075, is of length 3824, mapped to Original, on beginning location of: 1791859
Sequence 13078, is of length 13299, mapped to Complement, on beginning location of: 3551269
Sequence 13081, is of length 2575, mapped to Complement, on beginning location of: 26555
